Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-02-25,2014,2,25,Tuesday,166.11,166.3,163.16,163.48,3682300.0,152.76,-0.018373879999282305,152.69785714285717,157.82108108108108
2014-02-26,2014,2,26,Wednesday,163.26,163.9,160.77,162.8,3978300.0,152.64,-0.0007980747121787424,152.89285714285717,157.68473684210528
2014-02-27,2014,2,27,Thursday,162.66,165.79,162.34,165.38,3806600.0,155.06,0.015847788457040046,153.1721428571429,157.6174358974359
2014-02-28,2014,2,28,Friday,164.81,167.82,164.57,166.45,4291500.0,156.07,0.006469996129751854,153.51142857142858,157.57875
2014-03-03,2014,3,3,Monday,164.22,165.31,163.66,164.74,3122900.0,154.46,-0.010273088637654193,153.79785714285717,157.5026829268293
2014-03-04,2014,3,4,Tuesday,166.64,168.76,166.2,168.73,3400500.0,158.2,0.024219841593485558,154.12500000000003,157.51928571428573
2014-03-05,2014,3,5,Wednesday,168.8,172.9,168.25,171.9,4451200.0,161.18,0.01878753922289067,154.725,157.6044186046512
2014-03-06,2014,3,6,Thursday,172.71,174.0,172.49,172.6,3403500.0,161.83,0.004072034837804939,155.33357142857145,157.70045454545456
2014-03-07,2014,3,7,Friday,173.98,175.59,173.11,174.26,4088900.0,163.39,0.009617576814174189,156.07642857142855,157.8268888888889
2014-03-10,2014,3,10,Monday,173.6,174.49,172.47,173.51,2179100.0,162.68,-0.004304061939193415,156.70642857142852,157.93239130434785
2014-03-11,2014,3,11,Tuesday,173.96,173.96,169.85,169.89,3832300.0,159.29,-0.02086317338549515,157.18714285714282,157.9612765957447
2014-03-12,2014,3,12,Wednesday,169.13,169.99,167.81,169.72,2550000.0,159.13,-0.0010006448728013817,157.5735714285714,157.98562500000003
2014-03-13,2014,3,13,Thursday,170.48,171.24,166.57,166.7,3421400.0,156.3,-0.017793956019193757,157.75785714285715,157.95122448979595
2014-03-14,2014,3,14,Friday,166.9,167.4,165.03,165.35,2762100.0,155.03,-0.008098404686324279,157.7157142857143,157.89280000000002
2014-03-17,2014,3,17,Monday,166.38,168.8,166.33,166.84,3198000.0,156.43,0.009011153019330642,157.97785714285718,157.71540000000002
2014-03-18,2014,3,18,Tuesday,167.27,169.0,167.01,168.09,1941300.0,157.6,0.007492108256711427,158.33214285714288,157.53800000000004
2014-03-19,2014,3,19,Wednesday,168.49,170.16,166.8,168.18,3534100.0,157.69,0.0005356937810532258,158.52000000000004,157.33960000000002
2014-03-20,2014,3,20,Thursday,167.88,170.45,167.27,169.22,3950500.0,158.66,0.006183742420188487,158.705,157.1808
2014-03-21,2014,3,21,Friday,169.69,170.0,166.91,166.95,4779100.0,156.53,-0.013414375069904616,158.85285714285718,156.97660000000002
2014-03-24,2014,3,24,Monday,167.13,167.98,165.1,165.72,2723000.0,155.38,-0.007367661229123024,158.65142857142862,156.7688
2014-03-25,2014,3,25,Tuesday,166.59,167.42,162.8,163.25,4437500.0,153.06,-0.014904498492737894,158.07142857142864,156.496
2014-03-26,2014,3,26,Wednesday,164.74,165.0,161.72,161.73,2590300.0,151.64,-0.009311193210025492,157.3435714285715,156.2418
2014-03-27,2014,3,27,Thursday,161.8,163.31,160.77,162.29,3890200.0,152.16,0.003462617745455532,156.54142857142864,155.9846
2014-03-28,2014,3,28,Friday,162.21,164.19,161.29,162.3,2630500.0,152.17,6.16710260894493e-05,155.79071428571436,155.68740000000003
2014-03-31,2014,3,31,Monday,163.22,164.14,162.22,163.85,2494300.0,153.63,0.009550297541844222,155.38642857142867,155.48620000000003
2014-04-01,2014,4,1,Tuesday,164.76,166.29,164.22,165.92,3325500.0,155.57,0.012633332892999949,155.13214285714295,155.30300000000003
2014-04-02,2014,4,2,Wednesday,165.9,167.54,165.73,167.27,2407600.0,156.83,0.008136379423463014,155.17000000000007,155.20260000000002
2014-04-03,2014,4,3,Thursday,167.31,167.67,165.0,166.09,2337300.0,155.73,-0.00705439454134027,155.22000000000006,155.0712
2014-04-04,2014,4,4,Friday,167.01,167.04,162.85,163.24,3262500.0,153.06,-0.017159317864105628,154.9792857142858,154.9412
2014-04-07,2014,4,7,Monday,162.95,163.2,158.44,158.56,4650800.0,148.67,-0.028669348515344417,154.34142857142865,154.78160000000003
2014-04-08,2014,4,8,Tuesday,158.7,158.76,155.48,156.56,6839900.0,146.79,-0.012613682072110555,153.5628571428572,154.63940000000002
2014-04-09,2014,4,9,Wednesday,157.11,159.0,156.42,158.16,4010000.0,148.29,0.010220084353974812,152.82214285714295,154.49820000000003
2014-04-10,2014,4,10,Thursday,158.41,158.88,155.81,155.98,4806600.0,146.25,-0.013783822884492203,152.08785714285722,154.36
2014-04-11,2014,4,11,Friday,154.45,154.49,151.65,152.72,6460700.0,143.19,-0.02090012495127569,151.21714285714293,154.1244
2014-04-14,2014,4,14,Monday,154.8,155.13,153.42,154.74,3053700.0,145.09,0.013226781389775955,150.64785714285722,153.959
2014-04-15,2014,4,15,Tuesday,155.0,156.02,153.1,154.92,3639600.0,145.25,0.001163294416975491,150.19142857142865,153.87720000000002
2014-04-16,2014,4,16,Wednesday,156.34,157.29,155.12,157.22,3194200.0,147.41,0.014846520821370834,149.85214285714295,153.8022
2014-04-17,2014,4,17,Thursday,161.03,161.44,157.35,157.44,4525200.0,147.62,0.0013989623146568597,149.52714285714293,153.7564
2014-04-21,2014,4,21,Monday,157.5,158.27,156.23,157.8,4551700.0,147.95,0.0022872064358083755,149.12142857142862,153.69240000000002
2014-04-22,2014,4,22,Tuesday,157.64,160.81,157.27,160.46,4547300.0,150.45,0.01685661052265508,148.7557142857143,153.675
2014-04-23,2014,4,23,Wednesday,160.26,160.94,159.28,160.45,2040600.0,150.44,-6.237435117995016e-05,148.29928571428576,153.6748
2014-04-24,2014,4,24,Thursday,161.04,162.11,160.59,160.85,2934200.0,150.81,0.0024926954064359297,147.94785714285717,153.61860000000001
2014-04-25,2014,4,25,Friday,160.48,160.77,157.91,158.24,3302100.0,148.37,-0.016225973395004756,147.61285714285717,153.53040000000001
2014-04-28,2014,4,28,Monday,158.6,158.83,154.0,156.54,3897800.0,146.77,-0.010743351431581227,147.47714285714287,153.39960000000002
2014-04-29,2014,4,29,Tuesday,157.03,158.38,156.64,158.24,2160500.0,148.37,0.010860024491246234,147.59,153.30720000000002
2014-04-30,2014,4,30,Wednesday,158.38,160.36,158.19,159.82,2745700.0,149.85,0.009984564055672163,147.70142857142858,153.22700000000003
2014-05-01,2014,5,1,Thursday,159.8,161.0,159.7,160.37,2079500.0,150.36,0.003441375091861376,147.99500000000003,153.18300000000002
2014-05-02,2014,5,2,Friday,160.46,161.84,158.57,158.88,2561500.0,148.97,-0.009290776838389858,148.40785714285715,153.08800000000002
2014-05-05,2014,5,5,Monday,156.5,156.9,154.52,156.35,3015700.0,146.6,-0.015923918860851982,148.51571428571427,152.94560000000004
2014-05-06,2014,5,6,Tuesday,155.85,155.85,154.18,154.54,3073100.0,144.9,-0.01157695720971419,148.4907142857143,152.73120000000003
2014-05-07,2014,5,7,Wednesday,155.41,156.31,153.71,155.52,3260900.0,145.82,0.006341688771469345,148.37714285714287,152.59240000000003
2014-05-08,2014,5,8,Thursday,155.76,158.22,155.2,157.4,2719600.0,147.58,0.012088291333691714,148.37428571428572,152.49120000000002
2014-05-09,2014,5,9,Friday,157.57,157.9,155.68,157.2,2637000.0,147.39,-0.0012706023114023024,148.33428571428573,152.33780000000002
2014-05-12,2014,5,12,Monday,157.91,159.95,157.91,159.55,2256100.0,149.6,0.014949424928945687,148.27357142857144,152.2084
2014-05-13,2014,5,13,Tuesday,159.56,160.9,159.13,160.28,1901500.0,150.28,0.004575217265444964,148.2621428571429,152.12480000000002
2014-05-14,2014,5,14,Wednesday,160.2,160.89,159.28,159.45,2128700.0,149.5,-0.005178620945314849,148.16857142857148,151.95080000000002
2014-05-15,2014,5,15,Thursday,158.69,158.96,155.92,156.64,2769300.0,146.87,-0.017622909241073348,148.06142857142862,151.6646
2014-05-16,2014,5,16,Friday,155.61,156.97,154.84,156.43,2845600.0,146.67,-0.0013408701609428642,148.05428571428575,151.3614
2014-05-19,2014,5,19,Monday,156.25,157.99,156.01,157.67,1618000.0,147.83,0.007927020146403674,148.01571428571432,151.05020000000002
2014-05-20,2014,5,20,Tuesday,157.48,157.91,155.61,156.35,2034900.0,146.6,-0.008371778861343548,147.7835714285715,150.7286
2014-05-21,2014,5,21,Wednesday,157.16,159.75,157.13,159.35,4226300.0,149.41,0.019187752946361325,147.7157142857143,150.531
2014-05-22,2014,5,22,Thursday,158.95,160.3,158.65,159.85,1645100.0,149.88,0.003137786449141755,147.78071428571434,150.346
2014-05-23,2014,5,23,Friday,159.91,160.48,159.51,160.16,1210200.0,150.17,0.0019391509558821518,148.03571428571436,150.2234
2014-05-27,2014,5,27,Tuesday,161.12,163.43,160.58,161.77,3248800.0,151.68,0.010052444843394515,148.52000000000004,150.15640000000002
2014-05-28,2014,5,28,Wednesday,160.91,161.61,159.78,161.19,1855200.0,151.65,-0.00018621136529151094,148.93642857142862,150.0608
2014-05-29,2014,5,29,Thursday,161.14,162.0,159.62,160.74,1779200.0,151.23,-0.002791577694183367,149.1971428571429,149.93339999999998
2014-05-30,2014,5,30,Friday,160.42,160.64,159.16,159.81,2206300.0,150.35,-0.005785854955875025,149.4085714285715,149.7866
2014-06-02,2014,6,2,Monday,159.78,160.2,157.91,160.03,2162500.0,150.56,0.0013765834667900378,149.47714285714292,149.62460000000002
2014-06-03,2014,6,3,Tuesday,159.85,161.93,159.28,161.8,2408600.0,152.22,0.011060668835254361,149.61571428571432,149.53840000000002
2014-06-04,2014,6,4,Wednesday,161.44,162.73,160.86,162.39,2098400.0,152.78,0.0036461218881687074,149.85000000000005,149.4864
2014-06-05,2014,6,5,Thursday,162.72,163.43,161.56,162.58,1859600.0,152.96,0.0011700429455199224,150.28500000000005,149.4844
2014-06-06,2014,6,6,Friday,162.9,166.26,162.9,166.19,3478100.0,156.35,0.02220463583611121,150.9764285714286,149.5786
2014-06-09,2014,6,9,Monday,166.04,166.86,165.64,166.0,2377500.0,156.17,-0.0011431916321573699,151.5721428571429,149.6588
2014-06-10,2014,6,10,Tuesday,165.86,167.26,165.48,166.36,1684500.0,156.51,0.0021686291901046317,152.28000000000003,149.74560000000002
2014-06-11,2014,6,11,Wednesday,165.09,166.16,164.69,165.43,2004100.0,155.64,-0.005590299060185155,152.72500000000005,149.78580000000002
2014-06-12,2014,6,12,Thursday,165.76,166.65,165.02,165.96,2309900.0,156.14,0.003203661372100708,153.1721428571429,149.79720000000003
2014-06-13,2014,6,13,Friday,166.17,167.07,165.42,165.89,1761100.0,156.07,-0.00042159500707983355,153.59357142857147,149.78200000000004
2014-06-16,2014,6,16,Monday,165.52,166.53,164.45,165.85,1756400.0,156.03,-0.00024099907559993472,153.90428571428578,149.78800000000004
2014-06-17,2014,6,17,Tuesday,165.64,168.75,165.45,168.22,2450000.0,158.26,0.014289653904490551,154.37642857142865,149.89200000000002
2014-06-18,2014,6,18,Wednesday,167.89,170.1,167.29,169.86,2873200.0,159.81,0.009749117641075555,154.98928571428578,150.11480000000003
2014-06-19,2014,6,19,Thursday,170.0,170.16,168.93,169.73,2306900.0,159.68,-0.0007653945419806574,155.65571428571434,150.37260000000003
2014-06-20,2014,6,20,Friday,170.32,171.08,169.42,169.84,4688200.0,159.79,0.0006482552245032913,156.31500000000005,150.60260000000005
2014-06-23,2014,6,23,Monday,170.18,170.62,169.21,170.24,1738500.0,160.16,0.0023550874453459603,156.88214285714292,150.88080000000002
2014-06-24,2014,6,24,Tuesday,169.55,170.55,167.95,168.23,1608000.0,158.27,-0.011806837733864595,157.27428571428575,151.18240000000006
2014-06-25,2014,6,25,Wednesday,167.82,169.02,167.4,168.38,1601200.0,158.41,0.0008917785728264072,157.66357142857146,151.44880000000003
2014-06-26,2014,6,26,Thursday,167.0,168.11,166.37,168.01,2131200.0,158.07,-0.0021973110584119215,157.78642857142862,151.70520000000005
2014-06-27,2014,6,27,Friday,167.25,167.65,166.37,166.78,3111200.0,156.91,-0.007320999543583895,157.83928571428575,151.89520000000005
2014-06-30,2014,6,30,Monday,166.87,167.91,166.37,167.44,1885200.0,157.53,0.003957063656688131,157.9121428571429,152.09340000000003
2014-07-01,2014,7,1,Tuesday,166.35,168.27,166.06,166.81,2947800.0,156.94,-0.003762172939650976,158.00500000000005,152.27320000000003
2014-07-02,2014,7,2,Wednesday,167.0,167.81,166.57,166.89,1877600.0,157.01,0.0004792424993298461,158.06714285714293,152.40440000000004
2014-07-03,2014,7,3,Thursday,167.83,169.9,167.72,169.46,1801200.0,159.43,0.015399648782156605,158.3071428571429,152.58420000000007
2014-07-07,2014,7,7,Monday,168.97,168.97,166.9,167.78,1774000.0,157.85,-0.009913889925998953,158.43714285714287,152.72500000000005
2014-07-08,2014,7,8,Tuesday,166.74,166.78,163.73,164.91,2422200.0,155.15,-0.01710591044552201,158.215,152.86060000000006
2014-07-09,2014,7,9,Wednesday,165.24,165.33,163.63,164.67,1943800.0,154.92,-0.0014553744505956256,157.86571428571432,153.02360000000004
2014-07-10,2014,7,10,Thursday,162.22,163.78,161.53,163.42,2204100.0,153.75,-0.0075910329052444325,157.4421428571429,153.13120000000004
2014-07-11,2014,7,11,Friday,163.02,165.14,162.38,164.8,2293300.0,155.05,0.00844465440513864,157.10357142857148,153.23520000000005
2014-07-14,2014,7,14,Monday,167.18,167.72,166.46,167.0,3007700.0,157.12,0.013349508830191592,156.88642857142864,153.37040000000005
2014-07-15,2014,7,15,Tuesday,169.7,170.15,167.15,169.17,4802300.0,159.16,0.012994172012315008,156.95000000000005,153.57420000000005
2014-07-16,2014,7,16,Wednesday,169.2,170.99,169.0,170.47,3295100.0,160.38,0.007684490373894182,157.09071428571434,153.84980000000004
2014-07-17,2014,7,17,Thursday,170.21,171.6,168.92,170.14,3815500.0,160.07,-0.0019357521704428393,157.23357142857148,154.15320000000003
2014-07-18,2014,7,18,Friday,170.41,171.79,169.65,171.47,2558600.0,161.32,0.007817033206972024,157.5485714285715,154.46320000000003
2014-07-21,2014,7,21,Monday,170.17,172.1,170.05,171.72,2227400.0,161.56,0.001457866311020295,157.83642857142863,154.74280000000005
2014-07-22,2014,7,22,Tuesday,172.38,175.38,172.38,175.02,3849500.0,164.66,0.01921737017238745,158.3878571428572,155.08820000000003
2014-07-23,2014,7,23,Wednesday,175.21,177.22,174.63,176.82,3436100.0,166.35,0.010284694511193848,159.05500000000004,155.42320000000004
2014-07-24,2014,7,24,Thursday,176.8,177.32,175.61,176.26,2012800.0,165.83,-0.003167352539610202,159.5121428571429,155.73420000000004
2014-07-25,2014,7,25,Friday,175.91,176.46,174.72,175.4,2114900.0,165.02,-0.004878982858642411,160.02428571428575,156.04460000000006
2014-07-28,2014,7,28,Monday,175.0,176.46,174.67,175.95,2303400.0,165.54,0.003135480323795292,160.7664285714286,156.41800000000003
2014-07-29,2014,7,29,Tuesday,176.17,177.11,175.45,175.54,3055600.0,165.15,-0.0023300874220630874,161.4971428571429,156.78760000000003
2014-07-30,2014,7,30,Wednesday,175.96,177.48,175.36,175.76,2345600.0,165.36,0.0012533213246086472,162.3264285714286,157.13820000000004
2014-07-31,2014,7,31,Thursday,174.44,175.27,172.79,172.87,3797600.0,162.64,-0.016442943018178724,162.86857142857144,157.45900000000003
2014-08-01,2014,8,1,Friday,172.38,172.76,169.4,170.25,3140000.0,160.17,-0.01515581100664265,163.0864285714286,157.67420000000004
2014-08-04,2014,8,4,Monday,170.57,171.89,170.05,171.69,2103900.0,161.53,0.008458068045221756,163.25571428571433,157.90720000000002
2014-08-05,2014,8,5,Tuesday,171.3,171.77,168.89,169.42,2746200.0,159.39,-0.013221406700615668,163.18500000000003,158.09160000000003
2014-08-06,2014,8,6,Wednesday,168.15,170.85,168.02,169.74,1711700.0,159.69,0.001888587324619051,163.15785714285718,158.25180000000003
2014-08-07,2014,8,7,Thursday,170.3,171.07,168.74,169.1,1920900.0,159.09,-0.0037703412245281287,162.99857142857147,158.40060000000003
2014-08-08,2014,8,8,Friday,169.35,172.49,168.68,172.26,2250900.0,162.06,0.018687011877417614,163.03428571428574,158.61720000000005
2014-08-11,2014,8,11,Monday,172.75,173.41,171.62,172.46,2098000.0,162.25,0.0011612835921568365,162.8621428571429,158.85520000000005
2014-08-12,2014,8,12,Tuesday,171.78,173.11,171.38,172.33,1362900.0,162.13,-0.0007538553267364412,162.56071428571434,159.08660000000003
2014-08-13,2014,8,13,Wednesday,172.4,172.89,171.27,172.37,1708200.0,162.17,0.00023199292558051532,162.2992857142858,159.28560000000004
2014-08-14,2014,8,14,Thursday,172.8,173.1,171.69,172.73,1431400.0,162.51,0.0020887693573894417,162.12000000000006,159.48020000000005
2014-08-15,2014,8,15,Friday,172.84,174.6,171.44,171.9,2446000.0,161.73,-0.004805263630343948,161.8478571428572,159.65560000000002
2014-08-18,2014,8,18,Monday,173.25,174.63,172.7,174.55,1877700.0,164.22,0.015415689984877634,161.78142857142862,159.81300000000002
2014-08-19,2014,8,19,Tuesday,174.91,175.1,173.63,173.96,1916100.0,163.66,-0.0033798851535931096,161.66000000000003,159.96280000000002
2014-08-20,2014,8,20,Wednesday,173.27,174.18,172.6,174.03,1755100.0,163.73,0.00040230005617281073,161.73785714285717,160.1072
2014-08-21,2014,8,21,Thursday,174.24,175.92,173.44,175.15,2075200.0,164.78,0.006435703541612714,162.0671428571429,160.29
2014-08-22,2014,8,22,Friday,175.35,176.98,174.83,175.47,2682000.0,165.08,0.0018270804604343382,162.3207142857143,160.4688
2014-08-25,2014,8,25,Monday,176.71,179.86,176.46,177.87,3063500.0,167.34,0.013677419211720387,162.88857142857145,160.6942
2014-08-26,2014,8,26,Tuesday,178.47,179.15,177.81,177.9,3110600.0,167.37,0.00016868938921854593,163.43714285714287,160.921
2014-08-27,2014,8,27,Wednesday,178.36,178.36,177.01,177.81,2073700.0,167.8,0.002593731720801129,164.05928571428575,161.11180000000002
2014-08-28,2014,8,28,Thursday,177.05,177.75,175.89,177.65,1961800.0,167.65,-0.0008996833921937064,164.45857142857147,161.2686
2014-08-29,2014,8,29,Friday,178.32,179.5,177.85,179.11,2560600.0,169.03,0.00821839162058624,164.9428571428572,161.45559999999998
2014-09-02,2014,9,2,Tuesday,179.26,180.22,178.38,179.77,1986300.0,169.65,0.0036850019760588104,165.48000000000005,161.65279999999996
2014-09-03,2014,9,3,Wednesday,180.48,182.07,179.43,179.6,2397700.0,169.49,-0.0009459971271116308,166.0028571428572,161.83939999999998
2014-09-04,2014,9,4,Thursday,179.93,181.6,179.55,180.08,1678500.0,169.95,0.0026726902426010835,166.53428571428574,162.07299999999998
2014-09-05,2014,9,5,Friday,179.58,179.91,177.88,179.75,2562800.0,169.63,-0.00183253173911746,167.09857142857146,162.29739999999998
2014-09-08,2014,9,8,Monday,179.58,180.92,179.22,180.11,1746400.0,169.97,0.002002844784386504,167.50928571428577,162.53539999999998
2014-09-09,2014,9,9,Tuesday,177.93,178.64,176.62,177.4,2598500.0,167.42,-0.015046430017703782,167.7778571428572,162.74559999999997
2014-09-10,2014,9,10,Wednesday,178.33,180.18,178.12,179.87,2457800.0,169.75,0.013923366026713513,168.2078571428572,162.98999999999998
2014-09-11,2014,9,11,Thursday,178.77,181.44,178.5,181.0,1905300.0,170.81,0.006282557885854745,168.63857142857145,163.2674
2014-09-12,2014,9,12,Friday,180.63,183.47,180.63,183.17,3358600.0,172.86,0.011988744472732238,169.19428571428577,163.5844
2014-09-15,2014,9,15,Monday,182.91,184.4,182.51,183.98,2308000.0,173.63,0.004422128277999482,169.64357142857148,163.86839999999995
