Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-04-28,2015,4,28,Tuesday,26.219999313354492,24.8700008392334,25.149999618530273,474600,25.149999618530273,-0.038608571665635916,25.32285717555455,25.167999935150146
2015-04-29,2015,4,29,Wednesday,25.25,24.790000915527344,24.8799991607666,251300,24.8799991607666,-0.01073560484528746,25.21999999455043,25.154285612560454
2015-04-30,2015,4,30,Thursday,25.420000076293945,24.899999618530273,25.06999969482422,149300,25.06999969482422,0.007636677671486014,25.204285621643066,25.150454434481535
2015-05-01,2015,5,1,Friday,26.049999237060547,24.90999984741211,25.959999084472656,483200,25.959999084472656,0.035500574410943564,25.24642835344587,25.18565202795941
2015-05-04,2015,5,4,Monday,26.25,25.680999755859375,25.979999542236328,207400,25.979999542236328,0.0007704336852474292,25.259285518101283,25.21874984105428
2015-05-05,2015,5,5,Tuesday,26.100000381469727,25.290000915527344,25.420000076293945,185100,25.420000076293945,-0.02155502216356775,25.28071403503418,25.226799850463866
2015-05-06,2015,5,6,Wednesday,25.549999237060547,24.149999618530273,24.540000915527344,718200,24.540000915527344,-0.03461837758164554,25.263571194240026,25.200384506812462
2015-05-07,2015,5,7,Thursday,25.489999771118164,24.524999618530273,24.809999465942383,363300,24.809999465942383,0.011002385507011159,25.238571166992188,25.18592580159505
2015-05-08,2015,5,8,Friday,25.399999618530273,24.530000686645508,24.8799991607666,525500,24.8799991607666,0.00282143072676444,25.219999722072057,25.174999850136892
2015-05-11,2015,5,11,Monday,26.290000915527344,25.56999969482422,25.68000030517578,1211100,25.68000030517578,0.03215438791777392,25.284285409109934,25.192413658931336
2015-05-12,2015,5,12,Tuesday,27.729999542236328,25.75,26.770000457763672,2299800,26.770000457763672,0.042445488303526346,25.427142551967076,25.244999885559082
2015-05-13,2015,5,13,Wednesday,27.5,26.399999618530273,26.5,1450000,26.5,-0.010085933998756014,25.53071403503418,25.285483760218465
2015-05-14,2015,5,14,Thursday,27.100000381469727,26.1200008392334,26.229999542236328,445500,26.229999542236328,-0.01018869651938381,25.57357120513916,25.314999878406525
2015-05-15,2015,5,15,Friday,26.889999389648438,26.049999237060547,26.510000228881836,423500,26.510000228881836,0.010674826211668043,25.598571232387,25.35121201023911
2015-05-18,2015,5,18,Monday,26.989999771118164,26.219999313354492,26.229999542236328,393900,26.229999542236328,-0.010562077866014374,25.675714084080287,25.377058702356674
2015-05-19,2015,5,19,Tuesday,26.5,25.511999130249023,25.940000534057617,418300,25.940000534057617,-0.011056005079670195,25.75142846788679,25.393142754690988
2015-05-20,2015,5,20,Wednesday,26.799999237060547,25.889999389648438,26.3799991607666,315100,26.3799991607666,0.01696216721858934,25.844999858311244,25.42055543263753
2015-05-21,2015,5,21,Thursday,26.68000030517578,25.489999771118164,25.600000381469727,587300,25.600000381469727,-0.029567809102015508,25.819285665239608,25.425405296119482
