Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,41.060001373291016,40.34000015258789,40.95000076293945,14763300.0,33.042579650878906,0.0,33.042579650878906,33.042579650878906
2014-01-03,2014,1,3,Friday,40.95000076293945,39.0,39.56999969482422,41426900.0,31.92904281616211,-0.033700057516156345,32.48581123352051,32.48581123352051
2014-01-06,2014,1,6,Monday,40.59000015258789,39.63999938964844,40.400001525878906,25063500.0,32.598777770996094,0.0209757291720305,32.52346674601237,32.52346674601237
2014-01-07,2014,1,7,Tuesday,40.939998626708984,40.099998474121094,40.20000076293945,14156900.0,32.43739318847656,-0.004950632924131226,32.50194835662842,32.50194835662842
2014-01-08,2014,1,8,Wednesday,40.84000015258789,40.20000076293945,40.41999816894531,11342400.0,32.61491394042969,0.00547271942975347,32.52454147338867,32.52454147338867
2014-01-09,2014,1,9,Thursday,40.939998626708984,40.279998779296875,40.4900016784668,9790600.0,32.6713981628418,0.0017318525664447026,32.549017588297524,32.549017588297524
2014-01-10,2014,1,10,Friday,40.68000030517578,39.84000015258789,40.029998779296875,14596000.0,32.30022048950195,-0.011360936299383617,32.513475145612446,32.513475145612446
2014-01-13,2014,1,13,Monday,40.63999938964844,39.439998626708984,39.58000183105469,20993200.0,31.937124252319336,-0.011241292835775796,32.441431283950806,32.441431283950806
2014-01-14,2014,1,14,Tuesday,40.15999984741211,39.56999969482422,40.02000045776367,17389100.0,32.292152404785156,0.011116472155129564,32.42484474182129,32.42484474182129
2014-01-15,2014,1,15,Wednesday,39.77000045776367,38.959999084472656,39.380001068115234,89207600.0,31.775747299194336,-0.01599165949415926,32.3599349975586,32.3599349975586
2014-01-16,2014,1,16,Thursday,39.54999923706055,38.7599983215332,39.0,36091300.0,31.4691162109375,-0.009649846638370319,32.27895147150213,32.27895147150213
2014-01-17,2014,1,17,Friday,39.099998474121094,38.33000183105469,38.599998474121094,28003300.0,31.146360397338867,-0.0102562719408833,32.184568881988525,32.184568881988525
2014-01-21,2014,1,21,Tuesday,39.0,37.900001525878906,38.34000015258789,30786600.0,30.936567306518555,-0.006735717693622911,32.08856876079853,32.08856876079853
2014-01-22,2014,1,22,Wednesday,38.81999969482422,38.119998931884766,38.79999923706055,16902000.0,31.307737350463867,0.011997777266875564,32.032795088631765,32.032795088631765
2014-01-23,2014,1,23,Thursday,38.5,37.90999984741211,38.41999816894531,20556300.0,31.00111198425293,-0.009793916525443036,31.886975969587052,31.96401621500651
2014-01-24,2014,1,24,Friday,38.11000061035156,36.70000076293945,36.83000183105469,39564500.0,29.718143463134766,-0.04138459684187623,31.729054587227957,31.823649168014526
2014-01-27,2014,1,27,Monday,37.279998779296875,36.060001373291016,36.7599983215332,33915300.0,29.66166114807129,-0.001900600390247864,31.519260542733328,31.696473402135513
2014-01-28,2014,1,28,Tuesday,37.20000076293945,36.720001220703125,36.810001373291016,15926700.0,29.702001571655273,0.0013600190286917613,31.323875427246094,31.585669411553276
2014-01-29,2014,1,29,Wednesday,36.959999084472656,36.0099983215332,36.349998474121094,17523300.0,29.33083152770996,-0.012496465702820592,31.08929811205183,31.46699373345626
2014-01-30,2014,1,30,Thursday,37.06999969482422,36.47999954223633,36.84000015258789,15481800.0,29.726211547851562,0.013480014017607012,30.878927639552526,31.379954624176026
2014-01-31,2014,1,31,Friday,36.84000015258789,35.880001068115234,36.08000183105469,27201000.0,29.112972259521484,-0.020629580979161122,30.651267051696777,31.272003083001998
