Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-06-05,2014,6,5,Thursday,35.66,37.9,35.39,37.3,851900,37.3,0.04628324377444648,33.09071428571428,32.883488372093026
2014-06-06,2014,6,6,Friday,37.41,38.18,36.88,37.65,323800,37.65,0.009383439570438412,33.48928571428571,32.99181818181819
2014-06-09,2014,6,9,Monday,37.55,39.12,37.51,39.1,269800,39.1,0.038512533585039144,34.05285714285714,33.12755555555556
2014-06-10,2014,6,10,Tuesday,38.89,39.09,37.25,38.01,179400,38.01,-0.027877242842076377,34.625,33.23369565217392
2014-06-11,2014,6,11,Wednesday,37.69,37.9,35.36,35.48,403000,35.48,-0.06656140202625571,34.942142857142855,33.281489361702135
2014-06-12,2014,6,12,Thursday,35.55,35.55,33.12,33.65,505700,33.65,-0.05157829875896547,35.13785714285714,33.289166666666674
2014-06-13,2014,6,13,Friday,36.25,37.49,34.5,36.0,2109600,36.0,0.06983650423652432,35.43785714285715,33.34448979591838
2014-06-16,2014,6,16,Monday,36.35,36.35,33.75,34.99,437700,34.99,-0.0280555089314779,35.605714285714285,33.37740000000001
2014-06-17,2014,6,17,Tuesday,35.07,36.21,34.59,35.77,339700,35.77,0.022292047495867884,35.77285714285714,33.412800000000004
2014-06-18,2014,6,18,Wednesday,35.99,36.26,34.85,34.99,284800,34.99,-0.021805948261529373,35.86571428571428,33.41660000000001
2014-06-19,2014,6,19,Thursday,35.07,35.66,34.18,34.45,141800,34.45,-0.015433006276752037,35.89214285714285,33.38580000000001
2014-06-20,2014,6,20,Friday,34.37,35.0,33.97,34.95,252100,34.95,0.014513787777267195,35.93214285714286,33.37860000000001
2014-06-23,2014,6,23,Monday,34.95,35.28,34.37,35.22,387500,35.22,0.007725334817445084,35.943571428571424,33.46480000000001
2014-06-24,2014,6,24,Tuesday,35.29,36.36,34.95,35.41,329000,35.41,0.00539462294502413,35.92642857142857,33.50020000000001
