Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-02-05,2014,2,5,Wednesday,160.59,162.65,160.32,160.42,3212900.0,149.3,-0.008283859103447533,155.79357142857137,159.83458333333337
2014-02-06,2014,2,6,Thursday,161.16,162.0,160.1,161.75,3798000.0,150.54,0.008290610100438522,154.9014285714285,159.46280000000002
2014-02-07,2014,2,7,Friday,162.78,162.9,160.27,161.93,4879900.0,150.71,0.0011130363918605557,153.9478571428571,159.12615384615387
2014-02-10,2014,2,10,Monday,161.02,161.77,160.28,161.0,4321700.0,149.84,-0.005742961323653262,153.13642857142852,158.78222222222226
2014-02-11,2014,2,11,Tuesday,161.21,164.96,160.31,164.39,4996300.0,153.0,0.021055667254307187,152.51928571428567,158.57571428571433
2014-02-12,2014,2,12,Wednesday,164.5,165.23,163.23,163.5,3046600.0,152.17,-0.005413973227037183,152.0371428571428,158.35482758620694
2014-02-13,2014,2,13,Thursday,162.55,164.4,162.1,164.06,3119600.0,152.69,0.003424902384516315,151.79928571428567,158.16600000000003
2014-02-14,2014,2,14,Friday,163.33,164.5,162.93,163.72,3287900.0,152.37,-0.0020722112040511,151.73428571428568,157.97903225806454
2014-02-18,2014,2,18,Tuesday,164.04,165.59,163.72,164.65,3399900.0,153.24,0.005680471974368828,151.6278571428571,157.8309375
2014-02-19,2014,2,19,Wednesday,163.91,166.18,162.98,163.26,3669700.0,151.95,-0.0084421595765517,151.58571428571423,157.65272727272728
2014-02-20,2014,2,20,Thursday,163.49,164.97,162.67,164.5,2631900.0,153.1,0.00759526924779097,151.49642857142854,157.51882352941178
2014-02-21,2014,2,21,Friday,164.3,165.65,164.15,164.5,2594500.0,153.1,0.0,151.52142857142852,157.39257142857144
2014-02-24,2014,2,24,Monday,164.08,167.41,164.08,166.54,3242900.0,155.0,0.012400904884835251,151.96857142857138,157.32611111111112
2014-02-25,2014,2,25,Tuesday,166.11,166.3,163.16,163.48,3682300.0,152.15,-0.01837385374455336,152.0828571428571,157.18621621621622
2014-02-26,2014,2,26,Wednesday,163.26,163.9,160.77,162.8,3978300.0,152.03,-0.0007980884387893683,152.2778571428571,157.05052631578948
2014-02-27,2014,2,27,Thursday,162.66,165.79,162.34,165.38,3806600.0,154.44,0.015847853858253602,152.55642857142854,156.98358974358973
2014-02-28,2014,2,28,Friday,164.81,167.82,164.57,166.45,4291500.0,155.44,0.006469941606119134,152.89428571428567,156.945
2014-03-03,2014,3,3,Monday,164.22,165.31,163.66,164.74,3122900.0,153.84,-0.010273050776744341,153.17999999999998,156.8692682926829
2014-03-04,2014,3,4,Tuesday,166.64,168.76,166.2,168.73,3400500.0,157.57,0.02421985258826509,153.50642857142856,156.88595238095235
2014-03-05,2014,3,5,Wednesday,168.8,172.9,168.25,171.9,4451200.0,160.53,0.018787486849098256,154.10357142857143,156.97069767441857
2014-03-06,2014,3,6,Thursday,172.71,174.0,172.49,172.6,3403500.0,161.18,0.00407203487583474,154.70999999999998,157.0663636363636
2014-03-07,2014,3,7,Friday,173.98,175.59,173.11,174.26,4088900.0,162.73,0.00961760205211859,155.45,157.1922222222222
2014-03-10,2014,3,10,Monday,173.6,174.49,172.47,173.51,2179100.0,162.03,-0.00430409638355389,156.07785714285714,157.2973913043478
2014-03-11,2014,3,11,Tuesday,173.96,173.96,169.85,169.89,3832300.0,158.65,-0.02086314282318702,156.5564285714286,157.32617021276593
2014-03-12,2014,3,12,Wednesday,169.13,169.99,167.81,169.72,2550000.0,158.49,-0.0010006463228844353,156.94142857142862,157.35041666666663
2014-03-13,2014,3,13,Thursday,170.48,171.24,166.57,166.7,3421400.0,155.67,-0.01779399311207719,157.12500000000006,157.31612244897954
2014-03-14,2014,3,14,Friday,166.9,167.4,165.03,165.35,2762100.0,154.41,-0.0080983707983453,157.0828571428572,157.25799999999995
2014-03-17,2014,3,17,Monday,166.38,168.8,166.33,166.84,3198000.0,155.8,0.009011177702463957,157.3435714285715,157.08139999999995
2014-03-18,2014,3,18,Tuesday,167.27,169.0,167.01,168.09,1941300.0,156.97,0.007492101361131764,157.6964285714286,156.90479999999997
2014-03-19,2014,3,19,Wednesday,168.49,170.16,166.8,168.18,3534100.0,157.05,0.0005357185038881163,157.88285714285718,156.70699999999997
2014-03-20,2014,3,20,Thursday,167.88,170.45,167.27,169.22,3950500.0,158.02,0.0061837450680730655,158.0671428571429,156.54879999999997
2014-03-21,2014,3,21,Friday,169.69,170.0,166.91,166.95,4779100.0,155.9,-0.013414376614298784,158.21428571428575,156.34539999999998
2014-03-24,2014,3,24,Monday,167.13,167.98,165.1,165.72,2723000.0,154.76,-0.007367660942353527,158.01357142857142,156.1384
2014-03-25,2014,3,25,Tuesday,166.59,167.42,162.8,163.25,4437500.0,152.45,-0.014904542225871675,157.43642857142854,155.86679999999998
2014-03-26,2014,3,26,Wednesday,164.74,165.0,161.72,161.73,2590300.0,151.03,-0.00931116105204799,156.71142857142857,155.6136
2014-03-27,2014,3,27,Thursday,161.8,163.31,160.77,162.29,3890200.0,151.55,0.003462557560270918,155.91285714285715,155.35739999999998
2014-03-28,2014,3,28,Friday,162.21,164.19,161.29,162.3,2630500.0,151.56,6.171871208660029e-05,155.165,155.06140000000002
2014-03-31,2014,3,31,Monday,163.22,164.14,162.22,163.85,2494300.0,153.01,0.009550305750530175,154.76214285714283,154.86100000000002
2014-04-01,2014,4,1,Tuesday,164.76,166.29,164.22,165.92,3325500.0,154.94,0.012633291688406656,154.50857142857143,154.67860000000002
2014-04-02,2014,4,2,Wednesday,165.9,167.54,165.73,167.27,2407600.0,156.2,0.008136443289029627,154.54642857142855,154.5786
2014-04-03,2014,4,3,Thursday,167.31,167.67,165.0,166.09,2337300.0,155.1,-0.007054455953315664,154.59571428571425,154.4478
2014-04-04,2014,4,4,Friday,167.01,167.04,162.85,163.24,3262500.0,152.44,-0.017159256164312686,154.35571428571424,154.3182
2014-04-07,2014,4,7,Monday,162.95,163.2,158.44,158.56,4650800.0,148.07,-0.028669412196772104,153.72,154.15919999999997
2014-04-08,2014,4,8,Tuesday,158.7,158.76,155.48,156.56,6839900.0,146.2,-0.012613713500049362,152.94499999999996,154.0176
2014-04-09,2014,4,9,Wednesday,157.11,159.0,156.42,158.16,4010000.0,147.7,0.010220131939937094,152.2078571428571,153.87699999999998
2014-04-10,2014,4,10,Thursday,158.41,158.88,155.81,155.98,4806600.0,145.66,-0.013783801793601946,151.4764285714285,153.7394
2014-04-11,2014,4,11,Friday,154.45,154.49,151.65,152.72,6460700.0,142.62,-0.020900093505270223,150.60928571428562,153.5048
2014-04-14,2014,4,14,Monday,154.8,155.13,153.42,154.74,3053700.0,144.5,0.013226699180888923,150.0414285714285,153.33979999999997
2014-04-15,2014,4,15,Tuesday,155.0,156.02,153.1,154.92,3639600.0,144.67,0.0011633460565398934,149.58714285714277,153.2584
2014-04-16,2014,4,16,Wednesday,156.34,157.29,155.12,157.22,3194200.0,146.82,0.014846462135145622,149.24928571428563,153.18379999999996
2014-04-17,2014,4,17,Thursday,161.03,161.44,157.35,157.44,4525200.0,147.02,0.0013989996752192813,148.92499999999993,153.13819999999998
2014-04-21,2014,4,21,Monday,157.5,158.27,156.23,157.8,4551700.0,147.36,0.0022872061752698958,148.52142857142852,153.07459999999998
2014-04-22,2014,4,22,Tuesday,157.64,160.81,157.27,160.46,4547300.0,149.84,0.016856652750530277,148.15714285714282,153.05719999999997
2014-04-23,2014,4,23,Wednesday,160.26,160.94,159.28,160.45,2040600.0,149.83,-6.242257640276527e-05,147.70214285714283,153.05699999999996
2014-04-24,2014,4,24,Thursday,161.04,162.11,160.59,160.85,2934200.0,150.21,0.0024926799104481034,147.35285714285712,153.00119999999998
2014-04-25,2014,4,25,Friday,160.48,160.77,157.91,158.24,3302100.0,147.77,-0.016225978204655878,147.01928571428567,152.9132
2014-04-28,2014,4,28,Monday,158.6,158.83,154.0,156.54,3897800.0,146.18,-0.01074336813192489,146.88428571428565,152.783
2014-04-29,2014,4,29,Tuesday,157.03,158.38,156.64,158.24,2160500.0,147.77,0.010860041556292055,146.99642857142854,152.691
2014-04-30,2014,4,30,Wednesday,158.38,160.36,158.19,159.82,2745700.0,149.25,0.009984614272585457,147.10714285714283,152.6112
2014-05-01,2014,5,1,Thursday,159.8,161.0,159.7,160.37,2079500.0,149.76,0.003441368024558633,147.39999999999995,152.56740000000002
2014-05-02,2014,5,2,Friday,160.46,161.84,158.57,158.88,2561500.0,148.37,-0.0092908012855063,147.81071428571425,152.4728
2014-05-05,2014,5,5,Monday,156.5,156.9,154.52,156.35,3015700.0,146.01,-0.015923948122213205,147.9185714285714,152.33100000000002
2014-05-06,2014,5,6,Tuesday,155.85,155.85,154.18,154.54,3073100.0,144.32,-0.011576889988035854,147.89357142857142,152.1174
2014-05-07,2014,5,7,Wednesday,155.41,156.31,153.71,155.52,3260900.0,145.23,0.006341711446895326,147.77999999999997,151.97899999999998
2014-05-08,2014,5,8,Thursday,155.76,158.22,155.2,157.4,2719600.0,146.99,0.012088251993415344,147.77785714285713,151.8782
2014-05-09,2014,5,9,Friday,157.57,157.9,155.68,157.2,2637000.0,146.8,-0.0012706467114230735,147.73785714285714,151.7254
2014-05-12,2014,5,12,Monday,157.91,159.95,157.91,159.55,2256100.0,148.99,0.014949405705435792,147.67714285714283,151.59640000000002
2014-05-13,2014,5,13,Tuesday,159.56,160.9,159.13,160.28,1901500.0,149.68,0.004575259719597824,147.66642857142853,151.5132
2014-05-14,2014,5,14,Wednesday,160.2,160.89,159.28,159.45,2128700.0,148.9,-0.005178635290241318,147.57285714285712,151.33980000000003
2014-05-15,2014,5,15,Thursday,158.69,158.96,155.92,156.64,2769300.0,146.28,-0.017622856323046387,147.46642857142857,151.0548
2014-05-16,2014,5,16,Friday,155.61,156.97,154.84,156.43,2845600.0,146.08,-0.0013408606794222955,147.4592857142857,150.7528
2014-05-19,2014,5,19,Monday,156.25,157.99,156.01,157.67,1618000.0,147.24,0.007926964422512617,147.42142857142858,150.443
2014-05-20,2014,5,20,Tuesday,157.48,157.91,155.61,156.35,2034900.0,146.01,-0.008371802850224652,147.19,150.12260000000003
2014-05-21,2014,5,21,Wednesday,157.16,159.75,157.13,159.35,4226300.0,148.81,0.019187800304160563,147.12214285714285,149.92580000000004
2014-05-22,2014,5,22,Thursday,158.95,160.3,158.65,159.85,1645100.0,149.27,0.003137742914879116,147.1864285714286,149.74140000000006
2014-05-23,2014,5,23,Friday,159.91,160.48,159.51,160.16,1210200.0,149.56,0.0019392133137712264,147.44,149.61920000000006
2014-05-27,2014,5,27,Tuesday,161.12,163.43,160.58,161.77,3248800.0,151.07,0.010052435245593516,147.92214285714286,149.55240000000006
2014-05-28,2014,5,28,Wednesday,160.91,161.61,159.78,161.19,1855200.0,151.04,-0.00018625630483648514,148.33714285714285,149.45720000000006
